Motion Database Converter
  Frame 20237: 29.43/80.27
  Frame 20238: 29.42/80.17
  Frame 20239: 29.44/80.19
  Frame 20240: 29.43/80.14
  Frame 20241: 29.44/80.10
  Frame 20242: 29.47/80.11
  Frame 20243: 29.49/79.89
  Frame 20244: 29.51/79.91
  Frame 20245: 29.54/79.85
  Frame 20246: 29.56/79.73
  Frame 20247: 29.61/79.66
  Frame 20248: 29.64/79.66
  Frame 20249: 29.67/79.68
  Frame 20250: 29.72/79.61
  Frame 20251: 29.73/79.58
  Frame 20252: 29.77/79.58
  Frame 20253: 29.81/79.53
  Frame 20254: 29.80/79.49
  Frame 20255: 29.85/79.49
  Frame 20256: 29.89/79.52
  Frame 20257: 29.92/79.45
  Frame 20258: 29.92/79.44
  Frame 20259: 29.95/79.47
  Frame 20260: 29.97/79.44
  Frame 20261: 30.00/79.46
  Frame 20262: 30.03/79.49
  Frame 20263: 30.05/79.45
  Frame 20264: 30.08/79.48
  Frame 20265: 30.08/79.40
  Frame 20266: 30.09/79.43
  Frame 20267: 30.11/79.44
  Frame 20268: 30.11/79.42
  Frame 20269: 30.12/79.36
  Frame 20270: 30.13/79.34
  Frame 20271: 30.11/79.40
  Frame 20272: 30.12/79.37
  Frame 20273: 30.12/79.35
  Frame 20274: 30.11/79.22
  Frame 20275: 30.10/79.20
  Frame 20276: 30.09/79.14
  Frame 20277: 30.09/79.17
  Frame 20278: 30.07/79.20
  Frame 20279: 30.06/79.22
  Frame 20280: 30.05/79.23
  Frame 20281: 30.03/79.27
  Frame 20282: 30.02/79.28
  Frame 20283: 30.01/79.33
  Frame 20284: 29.98/79.36
  Frame 20285: 29.97/79.35
  Frame 20286: 29.96/79.33
  Frame 20287: 29.95/79.32
  Frame 20288: 29.93/79.43
  Frame 20289: 29.92/79.52
  Frame 20290: 29.90/79.52
  Frame 20291: 29.90/79.55
  Frame 20292: 29.90/79.54
  Frame 20293: 29.89/79.57
  Frame 20294: 29.89/79.63
  Frame 20295: 29.88/79.60
  Frame 20296: 29.89/79.68
  Frame 20297: 29.89/79.68
  Frame 20298: 29.89/79.65
  Frame 20299: 29.89/79.69
  Frame 20300: 29.89/79.67
  Frame 20301: 29.90/79.68
  Frame 20302: 29.90/79.69
  Frame 20303: 29.91/79.71
  Frame 20304: 29.92/79.67
  Frame 20305: 29.91/79.66
  Frame 20306: 29.92/79.68
  Frame 20307: 29.92/79.65
  Frame 20308: 29.93/79.54
  Frame 20309: 29.93/79.54
  Frame 20310: 29.93/79.53
  Frame 20311: 29.92/79.61
  Frame 20312: 29.92/79.55
  Frame 20313: 29.92/79.45
  Frame 20314: 29.92/79.46
  Frame 20315: 29.92/79.38
  Frame 20316: 29.92/79.38
  Frame 20317: 29.92/79.35
  Frame 20318: 29.92/79.30
  Frame 20319: 29.92/79.33
  Frame 20320: 29.91/79.37
  Frame 20321: 29.91/79.41
  Frame 20322: 29.91/79.38
  Frame 20323: 29.92/79.39
  Frame 20324: 29.91/79.41
  Frame 20325: 29.91/79.41
  Frame 20326: 29.91/79.40
  Frame 20327: 29.92/79.47
  Frame 20328: 29.92/79.42
  Frame 20329: 29.92/79.40
  Frame 20330: 29.92/79.34
  Frame 20331: 29.92/79.37
  Frame 20332: 29.92/79.31
  Frame 20333: 29.92/79.31
  Frame 20334: 29.92/79.28
  Frame 20335: 29.92/79.27
  Frame 20336: 29.92/79.27
  Frame 20337: 29.92/79.27
  Frame 20338: 29.92/79.24
  Frame 20339: 29.92/79.24
  Frame 20340: 29.92/79.24
  Frame 20341: 29.92/79.23
  Frame 20342: 29.92/79.24
  Frame 20343: 29.92/79.23
  Frame 20344: 29.92/79.22
  Frame 20345: 29.92/79.21
  Frame 20346: 29.92/79.19
  Frame 20347: 29.91/79.22
  Frame 20348: 29.92/79.17
  Frame 20349: 29.92/79.18
  Frame 20350: 29.92/79.19
  Frame 20351: 29.92/79.19
  Frame 20352: 29.92/79.20
  Frame 20353: 29.92/79.21
  Frame 20354: 29.92/79.22
  Frame 20355: 29.92/79.22
  Frame 20356: 29.93/79.21
  Frame 20357: 29.92/79.27
  Frame 20358: 29.93/79.27
  Frame 20359: 29.92/79.30
  Frame 20360: 29.93/79.31
  Frame 20361: 29.92/79.33
  Frame 20362: 29.92/79.38
  Frame 20363: 29.92/79.38
  Frame 20364: 29.92/79.42
  Frame 20365: 29.92/79.46
  Frame 20366: 29.92/79.46
  Frame 20367: 29.92/79.52
  Frame 20368: 29.91/79.53
  Frame 20369: 29.92/79.52
  Frame 20370: 29.91/79.51
  Frame 20371: 29.91/79.53
  Frame 20372: 29.91/79.54
  Frame 20373: 29.92/79.56
  Frame 20374: 29.92/79.55
  Frame 20375: 29.91/79.58
  Frame 20376: 29.92/79.58
  Frame 20377: 29.91/79.61
  Frame 20378: 29.91/79.63
  Frame 20379: 29.92/79.62
  Frame 20380: 29.93/79.61
  Frame 20381: 29.93/79.61
  Frame 20382: 29.92/79.63
  Frame 20383: 29.91/79.60
  Frame 20384: 29.91/79.59
  Frame 20385: 29.91/79.64
  Frame 20386: 29.91/79.63
  Frame 20387: 29.90/79.64
  Frame 20388: 29.90/79.65
  Frame 20389: 29.89/79.66
  Frame 20390: 29.88/79.66
  Frame 20391: 29.86/79.63
  Frame 20392: 29.86/79.65
  Frame 20393: 29.85/79.64
  Frame 20394: 29.84/79.64
  Frame 20395: 29.83/79.66
  Frame 20396: 29.82/79.72
  Frame 20397: 29.79/79.76
  Frame 20398: 29.76/79.79
  Frame 20399: 29.73/79.83
  Frame 20400: 29.70/79.82
  Frame 20401: 29.68/79.78
  Frame 20402: 29.64/79.84
  Frame 20403: 29.61/79.89
  Frame 20404: 29.57/79.86
  Frame 20405: 29.52/79.86
  Frame 20406: 29.51/79.93
  Frame 20407: 29.49/79.89
  Frame 20408: 29.44/79.91
  Frame 20409: 29.44/79.86
  Frame 20410: 29.45/79.72
  Frame 20411: 29.41/79.79
  Frame 20412: 29.40/79.73
  Frame 20413: 29.38/79.69
  Frame 20414: 29.36/79.74
  Frame 20415: 29.34/79.81
  Frame 20416: 29.34/79.79
  Frame 20417: 29.33/79.83
  Frame 20418: 29.30/79.93
  Frame 20419: 29.30/79.99
  Frame 20420: 29.29/80.15
  Frame 20421: 29.25/80.15
  Frame 20422: 29.27/80.17
  Frame 20423: 29.26/80.26
  Frame 20424: 29.25/80.35
  Frame 20425: 29.23/80.30
  Frame 20426: 29.25/80.49
  Frame 20427: 29.26/80.53
  Frame 20428: 29.25/80.50
  Frame 20429: 29.29/80.54
  Frame 20430: 29.32/80.59
  Frame 20431: 29.36/80.65
  Frame 20432: 29.42/80.82
  Frame 20433: 29.48/80.94
  Frame 20434: 29.56/80.91
  Frame 20435: 29.64/80.95
  Frame 20436: 29.65/80.97
  Frame 20437: 29.72/81.04
  Frame 20438: 29.79/80.99
  Frame 20439: 29.90/81.15
  Frame 20440: 29.97/81.19
  Frame 20441: 30.07/81.37
  Frame 20442: 30.15/81.26
  Frame 20443: 30.22/81.34
  Frame 20444: 30.33/81.45
  Frame 20445: 30.42/81.50
  Frame 20446: 30.53/81.66
  Frame 20447: 30.65/81.56
  Frame 20448: 30.76/81.64
  Frame 20449: 30.87/81.63
  Frame 20450: 30.98/81.73
  Frame 20451: 31.12/82.30
  Frame 20452: 31.25/82.83
  Frame 20453: 31.38/83.19
  Frame 20454: 31.51/83.61
  Frame 20455: 31.61/83.51
  Frame 20456: 31.72/83.87
  Frame 20457: 31.79/83.88
  Frame 20458: 31.91/84.47
  Frame 20459: 31.97/84.61
  Frame 20460: 32.06/84.84
  Frame 20461: 32.18/84.90
  Frame 20462: 32.28/85.40
  Frame 20463: 32.38/85.79
  Frame 20464: 32.48/86.39
  Frame 20465: 32.61/87.01
  Frame 20466: 32.74/87.36
  Frame 20467: 32.82/87.70
  Frame 20468: 32.91/87.72
  Frame 20469: 33.02/87.70
  Frame 20470: 33.16/88.59
  Frame 20471: 33.27/88.75
  Frame 20472: 33.39/88.82
  Frame 20473: 33.47/88.85
  Frame 20474: 33.61/89.26
  Frame 20475: 33.71/89.25
  Frame 20476: 33.87/89.29
  Frame 20477: 33.97/89.75
  Frame 20478: 34.10/89.99
  Frame 20479: 34.22/90.44
  Frame 20480: 34.37/90.97
  Frame 20481: 34.47/91.36
  Frame 20482: 34.60/91.75
  Frame 20483: 34.73/91.73
  Frame 20484: 34.84/91.69
  Frame 20485: 34.94/92.20
  Frame 20486: 35.09/92.65
  Frame 20487: 35.19/92.86
  Frame 20488: 35.30/93.45
  Frame 20489: 35.41/94.20
  Frame 20490: 35.54/94.48
  Frame 20491: 35.63/94.62
  Frame 20492: 35.73/94.83
  Frame 20493: 35.81/94.91
  Frame 20494: 35.89/95.01
  Frame 20495: 35.96/95.51
  Frame 20496: 36.05/95.69
  Frame 20497: 36.12/95.91
  Frame 20498: 36.15/95.91
  Frame 20499: 36.23/96.18
  Frame 20500: 36.30/96.14
  Frame 20501: 36.38/96.06
  Frame 20502: 36.44/96.07
  Frame 20503: 36.51/96.49
  Frame 20504: 36.57/97.66
  Frame 20505: 36.60/97.51
  Frame 20506: 36.63/97.51
  Frame 20507: 36.61/97.24
  Frame 20508: 36.68/97.02
  Frame 20509: 36.70/97.49
  Frame 20510: 36.76/98.81
  Frame 20511: 36.74/98.68
  Frame 20512: 36.76/99.17
  Frame 20513: 36.80/99.59
  Frame 20514: 36.80/100.11
  Frame 20515: 36.82/100.67
  Frame 20516: 36.88/101.17
  Frame 20517: 36.86/101.90
  Frame 20518: 36.85/102.41
  Frame 20519: 36.88/102.97
  Frame 20520: 36.89/103.22
  Frame 20521: 36.89/103.85
  Frame 20522: 36.92/104.22
  Frame 20523: 36.94/104.50
  Frame 20524: 36.94/105.02
  Frame 20525: 36.94/105.50
  Frame 20526: 36.96/106.16
  Frame 20527: 36.98/106.50
  Frame 20528: 36.98/106.85
  Frame 20529: 37.03/107.18
  Frame 20530: 37.03/107.60
  Frame 20531: 37.03/108.03
  Frame 20532: 37.03/108.51
  Frame 20533: 37.06/108.85
  Frame 20534: 37.07/109.18
  Frame 20535: 37.07/109.58
  Frame 20536: 37.08/110.03
  Frame 20537: 37.09/110.59
  Frame 20538: 37.10/110.95
  Frame 20539: 37.09/111.17
  Frame 20540: 37.10/111.54
  Frame 20541: 37.12/111.78
  Frame 20542: 37.11/112.22
  Frame 20543: 37.14/112.51
  Frame 20544: 37.11/112.71
  Frame 20545: 37.12/112.94
  Frame 20546: 37.09/113.48
  Frame 20547: 37.10/113.62
  Frame 20548: 37.09/114.01
  Frame 20549: 37.09/114.18
  Frame 20550: 37.06/114.64
  Frame 20551: 37.05/114.80
  Frame 20552: 36.97/115.09
  Frame 20553: 36.94/115.18
  Frame 20554: 36.95/115.30
  Frame 20555: 36.95/115.44
  Frame 20556: 36.95/115.44
  Frame 20557: 36.95/115.60
  Frame 20558: 36.94/115.76
  Frame 20559: 36.94/115.73
  Frame 20560: 36.93/116.08
  Frame 20561: 36.92/116.14
  Frame 20562: 36.93/116.28
  Frame 20563: 36.92/116.43
  Frame 20564: 36.91/116.58
  Frame 20565: 36.89/116.50
  Frame 20566: 36.89/116.66
  Frame 20567: 36.88/116.84
  Frame 20568: 36.88/116.92
  Frame 20569: 36.88/117.07
  Frame 20570: 36.87/117.09
  Frame 20571: 36.87/117.13
  Frame 20572: 36.87/117.16
  Frame 20573: 36.87/117.18
  Frame 20574: 36.87/117.31
  Frame 20575: 36.86/117.29
  Frame 20576: 36.86/117.31
  Frame 20577: 36.85/117.39
  Frame 20578: 36.85/117.41
  Frame 20579: 36.85/117.42
  Frame 20580: 36.86/117.42
  Frame 20581: 36.86/117.38
  Frame 20582: 36.87/117.42
  Frame 20583: 36.88/117.44
  Frame 20584: 36.88/117.46
  Frame 20585: 36.89/117.37
  Frame 20586: 36.89/117.43
  Frame 20587: 36.90/117.39
  Frame 20588: 36.90/117.44
  Frame 20589: 36.89/117.39
  Frame 20590: 36.89/117.28
  Frame 20591: 36.85/117.01
  Frame 20592: 36.85/116.98
  Frame 20593: 36.86/116.92
  Frame 20594: 36.86/116.92
  Frame 20595: 36.85/116.91
  Frame 20596: 36.85/116.94
  Frame 20597: 36.85/117.02
  Frame 20598: 36.85/116.86
  Frame 20599: 36.86/116.88
  Frame 20600: 36.87/116.76
  Frame 20601: 36.87/116.68
  Frame 20602: 36.88/116.61
  Frame 20603: 36.88/116.62
  Frame 20604: 36.87/116.55
  Frame 20605: 36.87/116.55
  Frame 20606: 36.87/116.55
  Frame 20607: 36.87/116.46
  Frame 20608: 36.87/116.39
  Frame 20609: 36.86/116.40
  Frame 20610: 36.86/116.38
  Frame 20611: 36.85/116.29
  Frame 20612: 36.85/116.26
  Frame 20613: 36.85/116.23
  Frame 20614: 36.85/116.20
  Frame 20615: 36.85/116.29
  Frame 20616: 36.85/116.22
  Frame 20617: 36.85/116.13
  Frame 20618: 36.85/116.13
  Frame 20619: 36.84/116.19
  Frame 20620: 36.84/116.22
  Frame 20621: 36.84/116.20
  Frame 20622: 36.84/116.22
  Frame 20623: 36.84/116.21
  Frame 20624: 36.83/116.13
  Frame 20625: 36.83/116.10
  Frame 20626: 36.83/116.10
  Frame 20627: 36.83/116.01
  Frame 20628: 36.83/116.02
  Frame 20629: 36.83/115.99
  Frame 20630: 36.83/115.97
  Frame 20631: 36.83/115.91
  Frame 20632: 36.83/115.86
  Frame 20633: 36.82/115.82
  Frame 20634: 36.81/115.78
  Frame 20635: 36.82/115.75
  Frame 20636: 36.82/115.74
  Frame 20637: 36.81/115.66
  Frame 20638: 36.81/115.69
  Frame 20639: 36.81/115.70
  Frame 20640: 36.81/115.65
  Frame 20641: 36.81/115.69
  Frame 20642: 36.80/115.76
  Frame 20643: 36.80/115.74
  Frame 20644: 36.80/115.74
  Frame 20645: 36.80/115.72
  Frame 20646: 36.80/115.74
  Frame 20647: 36.80/115.78
  Frame 20648: 36.80/115.71
  Frame 20649: 36.79/115.74
  Frame 20650: 36.79/115.74
  Frame 20651: 36.79/115.76
  Frame 20652: 36.79/115.78
  Frame 20653: 36.78/115.78
  Frame 20654: 36.78/115.80
  Frame 20655: 36.78/115.78
  Frame 20656: 36.78/115.74
  Frame 20657: 36.77/115.79
  Frame 20658: 36.77/115.82
  Frame 20659: 36.77/115.80
  Frame 20660: 36.77/115.83
  Frame 20661: 36.76/115.86
  Frame 20662: 36.77/115.84
  Frame 20663: 36.77/115.85
  Frame 20664: 36.76/115.92
  Frame 20665: 36.77/115.94
  Frame 20666: 36.77/115.97
  Frame 20667: 36.77/115.99
  Frame 20668: 36.77/116.01
  Frame 20669: 36.78/116.00
  Frame 20670: 36.78/116.02
  Frame 20671: 36.78/115.97
  Frame 20672: 36.78/115.98
  Frame 20673: 36.79/115.93
  Frame 20674: 36.79/115.92
  Frame 20675: 36.79/115.95
  Frame 20676: 36.79/115.93
  Frame 20677: 36.80/115.94
  Frame 20678: 36.80/115.92
  Frame 20679: 36.79/115.96
  Frame 20680: 36.80/115.94
  Frame 20681: 36.80/115.97
  Frame 20682: 36.80/115.94
  Frame 20683: 36.80/115.89
  Frame 20684: 36.80/115.91
  Frame 20685: 36.80/115.95
  Frame 20686: 36.79/115.97
  Frame 20687: 36.79/115.93
  Frame 20688: 36.79/115.93
  Frame 20689: 36.79/115.93
  Frame 20690: 36.79/115.95
  Frame 20691: 36.79/115.97
  Frame 20692: 36.78/116.01
  Frame 20693: 36.79/116.03
  Frame 20694: 36.78/115.99
  Frame 20695: 36.78/116.05
  Frame 20696: 36.78/116.08
  Frame 20697: 36.77/116.10
  Frame 20698: 36.77/116.02
  Frame 20699: 36.77/116.03
  Frame 20700: 36.77/115.97
  Frame 20701: 36.76/115.98
  Frame 20702: 36.76/116.00
  Frame 20703: 36.76/116.00
  Frame 20704: 36.76/115.92
  Frame 20705: 36.76/115.90
  Frame 20706: 36.76/115.93
  Frame 20707: 36.76/115.92
  Frame 20708: 36.76/115.90
  Frame 20709: 36.76/115.92
  Frame 20710: 36.76/115.89
  Frame 20711: 36.76/115.80
  Frame 20712: 36.76/115.77
  Frame 20713: 36.77/115.75
  Frame 20714: 36.77/115.70
  Frame 20715: 36.77/115.74
  Frame 20716: 36.77/115.72
  Frame 20717: 36.77/115.72
  Frame 20718: 36.77/115.70
  Frame 20719: 36.76/115.74
  Frame 20720: 36.77/115.70
  Frame 20721: 36.76/115.68
  Frame 20722: 36.76/115.68
  Frame 20723: 36.77/115.62
  Frame 20724: 36.76/115.64
  Frame 20725: 36.76/115.62
  Frame 20726: 36.76/115.68
  Frame 20727: 36.76/115.67
  Frame 20728: 36.76/115.63
  Frame 20729: 36.76/115.67
  Frame 20730: 36.76/115.69
  Frame 20731: 36.76/115.66
  Frame 20732: 36.76/115.68
  Frame 20733: 36.76/115.73
  Frame 20734: 36.76/115.72
  Frame 20735: 36.76/115.73
  Frame 20736: 36.76/115.70
  Frame 20737: 36.76/115.73
  Frame 20738: 36.76/115.70
  Frame 20739: 36.76/115.73
  Frame 20740: 36.77/115.69
  Frame 20741: 36.76/115.64
  Frame 20742: 36.76/115.67
  Frame 20743: 36.77/115.67
  Frame 20744: 36.77/115.73
  Frame 20745: 36.77/115.65
  Frame 20746: 36.77/115.65
  Frame 20747: 36.77/115.64
  Frame 20748: 36.77/115.68
  Frame 20749: 36.77/115.65
  Frame 20750: 36.77/115.64
  Frame 20751: 36.77/115.64
  Frame 20752: 36.77/115.63
  Frame 20753: 36.77/115.63
  Frame 20754: 36.77/115.63
  Frame 20755: 36.77/115.63
  Frame 20756: 36.77/115.64
  Frame 20757: 36.77/115.65
  Frame 20758: 36.77/115.70
  Frame 20759: 36.76/115.69
  Frame 20760: 36.76/115.68
  Frame 20761: 36.76/115.66
  Frame 20762: 36.76/115.68
  Frame 20763: 36.76/115.66
  Frame 20764: 36.76/115.67
  Frame 20765: 36.76/115.63
  Frame 20766: 36.77/115.63
  Frame 20767: 36.76/115.66
  Frame 20768: 36.77/115.63
  Frame 20769: 36.77/115.63
  Frame 20770: 36.77/115.64
  Frame 20771: 36.77/115.66
  Frame 20772: 36.77/115.64
  Frame 20773: 36.78/115.61
  Frame 20774: 36.78/115.60
  Frame 20775: 36.78/115.56
  Frame 20776: 36.78/115.60
  Frame 20777: 36.78/115.57
  Frame 20778: 36.79/115.52
  Frame 20779: 36.80/115.51
  Frame 20780: 36.80/115.50
  Frame 20781: 36.80/115.49
  Frame 20782: 36.80/115.50
  Frame 20783: 36.81/115.48
  Frame 20784: 36.80/115.50
  Frame 20785: 36.81/115.45
  Frame 20786: 36.81/115.47
  Frame 20787: 36.81/115.41
  Frame 20788: 36.81/115.46
  Frame 20789: 36.82/115.45
  Frame 20790: 36.81/115.44
  Frame 20791: 36.82/115.39
  Frame 20792: 36.82/115.40
  Frame 20793: 36.81/115.43
  Frame 20794: 36.82/115.43
  Frame 20795: 36.82/115.38
  Frame 20796: 36.82/115.41
  Frame 20797: 36.82/115.39
  Frame 20798: 36.82/115.42

The following line contains the information from above in a machine-readable format and can safely be ignored.
